Brand,Model,Type,State,City,Gender,Size,Color,Material,Price (USD),Units Sold,Total Sales
New Balance,Fresh Foam Hierro v6,Trail,California,Los Angeles,Men,9.5,Grey/Yellow,Synthetic/Mesh,135,800,400000
Asics,Gel-Quantum 180 5,Running,California,Los Angeles,Women,8,Pink,Mesh,120,750,375000
Fila,D-Formation,Fashion,California,Los Angeles,Men,11,Black,Leather,65,650,292500
Skechers,Arch Fit Refine,Walking,California,Los Angeles,Women,6.5,Navy,Mesh,65,700,350000
Nike,Air Zoom Pegasus 38,Running,California,Los Angeles,Men,12,Blue,Mesh,120,700,455000
Adidas,NMD_R1,Casual,California,Los Angeles,Women,8.5,Pink,Primeknit,130,900,450000
Reebok,Floatride Energy 3,Running,California,Los Angeles,Men,9,Black,Mesh,100,850,467500
Converse,Chuck 70 High,Casual,California,Los Angeles,Men,12,Green,Canvas,85,725,362500
Puma,Calibrate Runner,Running,California,Los Angeles,Women,9,White,Mesh,90,675,337500
Vans,Era,Skate,California,Los Angeles,Men,8.5,Black,Canvas,50,675,405000
New Balance,FuelCell Rebel v2,Running,California,Los Angeles,Women,7.5,Orange,Mesh,130,650,422500
Asics,Gel-Cumulus 23,Running,California,Los Angeles,Men,11,Grey,Mesh,120,850,425000
Fila,Mindblower,Fashion,California,Los Angeles,Women,7,White,Leather/Synthetic,65,850,467500
Skechers,GOrun Mojo 2.0,Running,California,Los Angeles,Men,8,Black,Mesh,60,700,350000
Nike,Air Force 1,Basketball,California,Los Angeles,Men,11,White,Leather,90,650,325000
Adidas,NMD_R1,Running,California,Los Angeles,Women,8.5,Pink,Knit,140,650,390000
Reebok,ZigWild Trail 7,Trail,California,Los Angeles,Men,9.5,Black,Mesh/Synthetic,110,700,455000
Converse,Jack Purcell,Casual,California,Los Angeles,Women,7,Blue,Canvas,65,800,400000
Puma,Calibrate Runner,Running,California,Los Angeles,Men,10,Grey,Mesh,90,800,440000
Vans,SK8-Hi,Skate,California,Los Angeles,Women,6.5,Black/White,Canvas/Leather,70,650,325000
New Balance,FuelCell Rebel v2,Running,California,Los Angeles,Women,7,White/Pink,Mesh,110,625,312500
Asics,Gel-Kahana 8,Running,California,Los Angeles,Men,8,Grey,Mesh,85,600,360000
Fila,Mindblower,Fashion,California,Los Angeles,Women,7.5,White/Pink,Leather/Synthetic,65,650,422500
Skechers,Max Cushioning,Running,California,Los Angeles,Men,11,Black,Mesh,85,825,412500
Nike,Air Max 2090,Running,California,Los Angeles,Men,12,Black,Mesh/Synthetic,150,825,453750
Adidas,Superstar,Casual,California,Los Angeles,Women,9.5,White/Black,Leather,85,675,337500
Reebok,Nano 9,Training,California,Los Angeles,Men,10,Blue,Synthetic,130,650,325000
Converse,Pro Leather,Casual,California,Los Angeles,Men,9.5,White/Green,Leather,80,600,360000
Puma,RS-X?,Lifestyle,California,Los Angeles,Women,8.5,Pink,Mesh,110,700,455000
Vans,Slip-On,Casual,California,Los Angeles,Men,10.5,Black/White,Canvas,50,900,450000
New Balance,Fresh Foam More v3,Running,California,Los Angeles,Men,12,Black/Grey,Mesh,165,900,495000
Asics,GT-1000 9,Running,California,Los Angeles,Women,6.5,Blue,Mesh,90,700,350000
Fila,T1 Mid,Casual,California,Los Angeles,Men,11,White,Leather,65,700,350000
Skechers,Go Walk 5,Walking,California,Los Angeles,Women,8.5,Black,Mesh,60,625,375000
Nike,Blazer Mid '77,Casual,California,Los Angeles,Men,8.5,Green,Leather,100,725,471250
Nike,Air Force 1,Casual,California,Los Angeles,Men,9.5,White,Leather,90,475,213750
Adidas,NMD_R1,Lifestyle,California,Los Angeles,Women,7,Black/Pink,Knit,140,275,123750
Reebok,Nano X1,Crossfit,California,Los Angeles,Men,10,Black,Mesh,130,275,96250
Converse,Chuck 70,Casual,California,Los Angeles,Women,8.5,Ivory,Canvas,85,125,50000
Puma,Calibrate,Running,Illinois,Chicago,Men,8.5,Grey,Mesh,130,175,96250
Vans,SK8-Hi,Skate,Illinois,Chicago,Men,9.5,Black/White,Canvas,70,275,123750
New Balance,574,Casual,Illinois,Chicago,Women,7,Pink,Suede,80,525,236250
Asics,Gel-Quantum 180 6,Running,Illinois,Chicago,Men,11,Black,Mesh,120,175,78750
Fila,Mindblower,Fashion,Illinois,Chicago,Women,8,White,Leather/Synthetic,65,225,78750
Skechers,Max Cushioning,Running,Illinois,Chicago,Women,7.5,Black,Mesh,90,100,40000
Nike,Free RN Flyknit,Running,Illinois,Chicago,Men,10,Blue,Knit,130,175,96250
Adidas,Adizero Boston 9,Running,Illinois,Chicago,Women,6.5,Black,Mesh,120,275,123750
Reebok,Zig Kinetica II,Running,Illinois,Chicago,Men,9,Blue,Mesh,120,495,247500
Converse,Run Star Hike,Casual,Illinois,Chicago,Women,8.5,White,Canvas,110,200,100000
Puma,Ralph Sampson,Casual,Illinois,Chicago,Men,11,White/Green,Leather,80,225,90000
Vans,Era,Skate,Illinois,Chicago,Women,7,Black,Canvas,55,75,33750
New Balance,990v4,Running,Illinois,Chicago,Men,10.5,Grey,Suede/Mesh,175,125,75000
Asics,Gel-Kayano 27,Running,Illinois,Chicago,Women,9,Black,Mesh,160,225,112500
Fila,D-Formation,Fashion,Illinois,Chicago,Men,9,White,Leather,70,450,225000
Skechers,D'Lites,Walking,Illinois,Chicago,Women,8,White,Leather,65,150,75000
Nike,Air Max 2090,Running,Illinois,Chicago,Men,9,Grey,Synthetic,150,150,60000
Nike,Air Force 1 Low,Casual,Illinois,Chicago,Men,9.5,White,Leather,90,75,33750
Adidas,NMD_R1,Lifestyle,Illinois,Chicago,Women,7.5,Pink/White,Primeknit,130,100,60000
Reebok,Zig Kinetica II,Running,Illinois,Chicago,Men,11,Black,Mesh,120,225,112500
Converse,Chuck 70 High,Casual,Illinois,Chicago,Men,8.5,Cream,Canvas,85,495,297000
Puma,Calibrate Runner,Running,Illinois,Chicago,Women,8,Black,Mesh,90,200,110000
Vans,Sk8-Hi,Skate,Illinois,Chicago,Men,10,Black/White,Suede/Canvas,70,175,87500
New Balance,327,Lifestyle,Illinois,Chicago,Women,6.5,White/Green,Suede/Mesh,90,100,50000
Asics,Gel-Quantum 90,Running,Illinois,Chicago,Men,10,Blue,Mesh,90,125,75000
Fila,Original Fitness,Fashion,Illinois,Chicago,Women,7.5,White/Navy,Leather/Synthetic,65,250,162500
Skechers,Go Walk 5,Walking,Illinois,Chicago,Men,9,Grey,Mesh,65,500,250000
Nike,React Infinity Run Flyknit,Running,Illinois,Chicago,Women,8,Black,Flyknit,160,250,112500
Adidas,Superstar,Casual,Illinois,Chicago,Men,8.5,White/Black,Leather,85,200,80000
Reebok,Nano 9,Crossfit,Illinois,Chicago,Women,7,Grey,Mesh,130,175,70000
Converse,Run Star Hike,Casual,Illinois,Chicago,Women,9,White,Canvas,100,175,87500
Puma,RS-2K,Lifestyle,Illinois,Chicago,Men,10,White,Leather/Synthetic,120,350,192500
Vans,Era,Skate,Illinois,Chicago,Women,6.5,Black/White,Canvas,50,575,287500
New Balance,FuelCell Propel v3,Running,Illinois,Chicago,Men,9.5,Blue/Orange,Mesh,100,325,146250
Asics,Gel-Kinsei OG,Running,Illinois,Chicago,Women,8.5,White/Black,Mesh,180,250,100000
Fila,Trigate,Fashion,Illinois,Chicago,Men,9.5,White/Navy/Red,Synthetic,60,200,80000
Skechers,Summits,Walking,Illinois,Chicago,Women,7.5,Black/Pink,Mesh,60,225,112500
Nike,Air Force 1 Low,Casual,Illinois,Chicago,Men,9,White,Leather,90,400,220000
Adidas,NMD_R1,Lifestyle,Illinois,Chicago,Women,7,Pink,Primeknit,140,550,275000
Reebok,Zig Kinetica,Running,Illinois,Chicago,Men,11,Black,Mesh,120,325,146250
Converse,Chuck 70,Casual,Illinois,Chicago,Men,8,Grey,Canvas,85,250,100000
Puma,Clyde All-Pro,Basketball,Illinois,Chicago,Men,10.5,White,Leather,130,225,90000
Vans,SK8-Hi,Skate,Illinois,Chicago,Women,7,Black/White,Suede/Canvas,70,200,100000
New Balance,990v2,Running,Illinois,Chicago,Men,10,Grey,Suede/Mesh,175,375,206250
Asics,Gel-Quantum 360 6,Running,Illinois,Chicago,Women,8,Black,Mesh,150,500,250000
Fila,Original Fitness,Casual,Illinois,Chicago,Men,9,White/Navy,Leather,60,300,135000
Skechers,Max Cushioning Premier,Running,Illinois,Chicago,Men,8.5,Grey,Mesh,90,200,80000
Nike,Blazer Mid,Casual,Illinois,Chicago,Women,7.5,Red,Leather,100,175,70000
Adidas,Superstar,Casual,Illinois,Chicago,Men,10,White/Black,Leather,80,175,87500
Reebok,Classic Nylon,Casual,Illinois,Chicago,Women,8,Black/White,Nylon/Suede,65,250,137500
Converse,All Star Pro BB,Basketball,Illinois,Chicago,Men,11,Black,Canvas,120,425,255000
Puma,Calibrate Runner,Running,Illinois,Chicago,Women,6.5,Blue,Mesh,120,250,125000
Vans,Era,Skate,Illinois,Chicago,Men,9.5,Red,Canvas,50,150,75000
New Balance,Fresh Foam More v3,Running,Illinois,Chicago,Women,7.5,Grey,Mesh,165,125,62500
Asics,GT-2000 10,Running,Illinois,Chicago,Men,9.5,Black,Mesh,120,125,75000
Fila,D-Formation,Casual,Illinois,Chicago,Women,8.5,White,Leather,70,250,162500
Skechers,Equalizer 4.0,Walking,Illinois,Chicago,Men,12,Navy,Mesh,65,400,240000
Nike,React Infinity Run Flyknit 2,Running,Illinois,Chicago,Women,9,Purple,Flyknit,160,250,125000
Nike,Air Force 1,Basketball,Illinois,Chicago,Men,11,White,Leather,90,195,97500
Adidas,Yeezy Boost 350 V2,Fashion,Illinois,Chicago,Women,8.5,Cream,Primeknit,220,175,87500
Reebok,Zig Kinetica,Running,Illinois,Chicago,Men,12,Black,Mesh,120,150,90000
Converse,Chuck 70,Casual,Illinois,Chicago,Women,7,Egret,Canvas,85,250,162500
Puma,Calibrate Runner,Running,Illinois,Chicago,Men,8.5,Black,Mesh,80,500,300000
Vans,Sk8-Hi,Skate,Illinois,Chicago,Women,9,Black/White,Canvas,70,300,150000
New Balance,FuelCell Rebel v2,Running,Illinois,Chicago,Men,10.5,Blue,Mesh,130,250,125000
Asics,Gel-Quantum 90,Running,Illinois,Chicago,Women,7,Black,Mesh,80,200,100000
Fila,Tracer,Fashion,Illinois,Chicago,Men,9.5,White/Navy,Leather/Synthetic,65,200,120000
Skechers,D'Lites,Walking,Illinois,Chicago,Women,6.5,Black/White,Synthetic,65,300,195000
Nike,React Infinity Run Flyknit 2,Running,Illinois,Chicago,Men,9,Black,Flyknit,160,725,145000
Adidas,NMD_R1 V2,Casual,Illinois,Chicago,Women,6.5,Pink,Primeknit,130,725,217500
Reebok,Club C Legacy,Casual,Illinois,Chicago,Men,11,Green,Leather,80,525,157500
Converse,Jack Purcell,Casual,Illinois,Chicago,Women,7.5,White,Canvas,65,525,183750
Puma,Clyde All-Pro,Basketball,Texas,Dallas,Men,10,Black,Leather,130,375,150000
Vans,Slip-On,Casual,Texas,Dallas,Women,8.5,Black,Canvas,50,525,183750
New Balance,Fresh Foam Hierro v6,Trail Running,Texas,Dallas,Men,10,Grey/Orange,Synthetic/Mesh,135,675,168750
Asics,GT-2000 10,Running,Texas,Dallas,Women,9,Black/Pink,Mesh,120,650,227500
Fila,Ray,Fashion,Texas,Dallas,Men,11,White,Synthetic,65,475,166250
Skechers,Ultra Flex 2.0,Walking,Texas,Dallas,Women,7.5,Navy/White,Mesh,60,425,148750
Nike,React Infinity Run,Running,Texas,Dallas,Women,9.5,Grey/Pink,Mesh,160,300,120000
Adidas,Ultraboost 5.0 DNA,Running,Texas,Dallas,Men,9,White,Primeknit,180,500,175000
Reebok,Nano X1,Training,Texas,Dallas,Women,8.5,Black,Flexweave/Knit,130,675,202500
Converse,Jack Purcell,Casual,Texas,Dallas,Men,11,White,Canvas,75,675,270000
Puma,Calibrate Runner,Running,Texas,Dallas,Men,10,Grey/Black,Mesh,90,500,150000
Vans,Sk8-Hi,Skate,Texas,Dallas,Women,7,Black/White,Canvas/Suede,65,400,140000
New Balance,327,Lifestyle,Texas,Dallas,Men,8.5,Blue/Orange,Suede/Nylon,90,300,120000
Asics,Gel-Cumulus 23,Running,Texas,Dallas,Women,7.5,Pink,Mesh,120,450,157500
Fila,Trailblazer,Fashion,Texas,Dallas,Men,9,Green/Orange,Leather/Synthetic,80,700,140000
Skechers,Go Walk Joy,Walking,Texas,Dallas,Women,6.5,Black,Mesh,54.99,700,210000
Nike,Blazer Mid '77,Casual,Texas,Dallas,Men,10,White/Black,Leather,100,525,131250
Adidas,NMD_R1,Lifestyle,Texas,Dallas,Women,6,Pink/White,Primeknit,130,425,127500
Reebok,Legacy Lifter,Weightlifting,Texas,Dallas,Men,9.5,Black/Gold,Leather,200,325,113750
Converse,Run Star Hike,Casual,Texas,Dallas,Women,7.5,Pink,Canvas,110,600,180000
Puma,Wild Rider,Lifestyle,Texas,Dallas,Men,11,Black/White,Suede/Leather,90,750,150000
Vans,Slip-On,Casual,Texas,Dallas,Women,8,Black/White Checkerboard,Canvas,50,775,232500
New Balance,Fresh Foam 1080v10,Running,Texas,Dallas,Men,12,Black/Green,Mesh,150,625,156250
Asics,Gel-Quantum 360 6,Running,Texas,Dallas,Women,9,Black/White,Mesh,150,550,192500
Fila,Spaghetti,Fashion,Texas,Dallas,Men,9.5,White/Navy,Leather/Synthetic,75,450,225000
Nike,Air Max 90,Running,Texas,Dallas,Men,8.5,White,Leather,120,800,360000
Adidas,NMD_R1,Lifestyle,Texas,Dallas,Women,7,Black/Pink,Primeknit,130,800,360000
Reebok,Nano X,Crossfit,Texas,Dallas,Men,9,Grey,Mesh,130,800,400000
Converse,All Star Pro BB,Basketball,Texas,Dallas,Women,9.5,Purple,Canvas,110,650,292500
Puma,Suede Classic,Casual,Texas,Dallas,Men,11,Black,Suede,65,600,270000
Vans,Sk8-Hi,Skate,Texas,Dallas,Women,7.5,Yellow,Suede,65,500,250000
New Balance,574,Casual,Texas,Dallas,Men,10,Grey,Suede/Mesh,80,875,481250
Asics,Gel-Quantum 360 6,Running,Texas,Dallas,Women,8.5,Black,Mesh,150,825,371250
Fila,Original Fitness,Fashion,Texas,Dallas,Men,10.5,White,Leather,65,825,412500
Skechers,Go Run 600,Running,Texas,Dallas,Women,6,Pink,Mesh,60,975,438750
Nike,Air Force 1,Casual,Texas,Dallas,Men,9.5,Grey,Leather,90,575,258750
Adidas,Yeezy Boost 350,Lifestyle,Texas,Dallas,Women,6.5,Cream,Primeknit,220,575,287500
Reebok,Legacy Lifter,Weightlifting,Texas,Dallas,Men,10.5,Black,Leather,200,850,510000
Converse,Pro Leather,Casual,Texas,Dallas,Women,8.5,White/Green,Leather,85,800,400000
Puma,RS-X? Puzzle,Lifestyle,Texas,Dallas,Men,8.5,Red,Synthetic,110,800,440000
Vans,Slip-On,Skate,Texas,Dallas,Women,8,Black/White,Canvas,50,975,487500
New Balance,FuelCell Propel v3,Running,Texas,Dallas,Men,9,Red,Mesh,100,525,262500
Asics,Gel-Kayano 28,Running,Texas,Dallas,Women,7.5,White/Pink,Mesh,160,525,288750
Fila,Disruptor Low,Fashion,Texas,Dallas,Men,9.5,White/Navy,Synthetic,60,775,465000
Skechers,Elite Flex,Walking,Texas,Dallas,Women,7.5,Black,Mesh,70,725,398750
Nike,Air Force 1 '07,Basketball,Texas,Dallas,Men,9.5,White,Leather,100,675,371250
Adidas,NMD_R1,Running,Texas,Dallas,Women,7,Grey,Primeknit,140,725,435000
Reebok,Aztrek Double Mix,Casual,Texas,Dallas,Women,8,Pink/White,Suede/Mesh,100,450,270000
Converse,All Star Leather,Casual,Texas,Dallas,Men,8.5,Black,Leather,65,450,247500
Puma,Calibrate Runner,Running,Texas,Dallas,Men,10,Blue,Mesh,90,675,337500
Vans,SK8-Hi,Skate,Texas,Dallas,Women,6.5,Black/White,Suede/Canvas,70,625,250000
New Balance,Fresh Foam 880v11,Running,Texas,Dallas,Men,11.5,Red,Mesh,130,625,250000
Asics,Gel-Cumulus 23,Running,Texas,Dallas,Women,9.5,Purple,Mesh,120,575,258750
Fila,Mindblower,Fashion,Texas,Dallas,Men,9.5,White/Blue,Leather/Synthetic,75,425,191250
Skechers,Summits - Quick Lapse,Walking,Texas,Dallas,Women,8,Black/Pink,Mesh,60,400,160000
Nike,Air Max 97,Running,Texas,Dallas,Men,11.5,Black,Leather/Synthetic,170,575,287500
Adidas,ZX 2K Boost,Casual,Texas,Dallas,Women,7.5,White/Pink,Mesh/Synthetic,150,725,290000
Reebok,Club C Revenge,Casual,Texas,Dallas,Men,10,White/Green,Leather,80,725,290000
Converse,Chuck 70 High,Casual,Texas,Dallas,Women,6,Red,Canvas,85,650,422500
Puma,Cali Sport,Lifestyle,Texas,Dallas,Men,8.5,Black/White,Leather,80,500,325000
Vans,Slip-On,Skate,Texas,Dallas,Women,7,Black/White,Canvas,50,475,285000
New Balance,Fresh Foam More v2,Running,Texas,Dallas,Men,9,Grey,Mesh,165,675,472500
Asics,GT-2000 10,Running,Texas,Dallas,Women,8,Blue,Mesh,120,825,495000
Fila,Original Fitness,Fashion,Texas,Dallas,Men,11,White,Leather,60,825,495000
Nike,Air Force 1,Basketball,Texas,Dallas,Men,11,White,Leather,90,725,471250
Adidas,NMD_R1,Running,Texas,Dallas,Women,8,Pink,Primeknit,140,575,373750
Reebok,Zig Kinetica,Running,Texas,Dallas,Men,10.5,Black,Mesh,120,525,315000
Converse,Jack Purcell,Casual,Texas,Dallas,Women,7.5,White,Canvas,65,775,542500
Puma,Clyde All-Pro,Basketball,Texas,Dallas,Men,10.5,Black,Leather,130,425,191250
Vans,Sk8-Hi,Skate,Texas,Dallas,Women,9,Black/White,Canvas/Suede,70,225,101250
New Balance,Fresh Foam More v3,Running,Texas,Dallas,Men,9.5,Blue,Mesh,165,225,78750
Asics,Gel-Kayano Lite,Running,Texas,Dallas,Women,7.5,Black,Mesh,120,75,30000
Fila,Mindblower,Fashion,Pennsylvania,Philadelphia,Men,9,Grey,Synthetic,70,125,68750
Skechers,D'Lites,Lifestyle,Pennsylvania,Philadelphia,Women,8.5,White,Leather/Synthetic,65,225,101250
Nike,Air Max 95,Running,Pennsylvania,Philadelphia,Men,11,Grey,Synthetic,170,475,213750
Adidas,Superstar,Casual,Pennsylvania,Philadelphia,Women,7,White/Black,Leather,80,125,56250
Reebok,DMX Series 2K,Casual,Pennsylvania,Philadelphia,Men,9.5,White/Blue,Synthetic,90,175,61250
Converse,All Star Lift,Casual,Pennsylvania,Philadelphia,Women,6.5,Black,Canvas,65,50,20000
Puma,Ralph Sampson,Basketball,Pennsylvania,Philadelphia,Men,11,White,Leather,80,125,68750
Vans,Era,Skate,Pennsylvania,Philadelphia,Women,8.5,Red,Canvas,55,225,101250
New Balance,FuelCell Rebel v2,Running,Pennsylvania,Philadelphia,Men,10,Black,Mesh,130,445,222500
Asics,Gel-Quantum 90,Running,Pennsylvania,Philadelphia,Women,8,Black/Pink,Mesh,80,150,75000
Fila,Original Fitness,Casual,Pennsylvania,Philadelphia,Men,8.5,White/Red,Leather,65,175,70000
Skechers,Elite Flex Wasick,Training,Pennsylvania,Philadelphia,Women,7.5,Grey,Knit,65,25,11250
Nike,React Infinity Run Flyknit,Running,Pennsylvania,Philadelphia,Men,10,Blue,Flyknit,160,75,45000
Nike,Air Force 1 '07,Casual,Pennsylvania,Philadelphia,Men,9,White/Black,Leather,90,175,87500
Adidas,Yeezy Boost 350 V2,Fashion,Pennsylvania,Philadelphia,Women,8.5,Cream White,Primeknit/Synthetic,220,450,225000
Reebok,Nano X1 Adventure,Training,Pennsylvania,Philadelphia,Men,10.5,Black,Mesh/Synthetic,130,150,75000
Converse,Jack Purcell,Casual,Pennsylvania,Philadelphia,Women,7,White,Canvas,65,150,60000
Puma,Calibrate Runner,Running,Pennsylvania,Philadelphia,Men,11,Grey,Mesh/Synthetic,100,75,33750
Vans,SK8-Hi,Skate,Pennsylvania,Philadelphia,Women,9.5,Purple,Canvas/Suede,70,75,45000
New Balance,FuelCell Rebel v2,Running,Pennsylvania,Philadelphia,Men,9.5,Black/White,Mesh/Synthetic,130,200,100000
Asics,Gel-Quantum 360 6,Running,Pennsylvania,Philadelphia,Women,6,Pink,Mesh/Synthetic,170,470,282000
Fila,Mindblower,Fashion,Pennsylvania,Philadelphia,Men,8.5,Red/White,Synthetic/Leather,75,175,105000
Skechers,Max Cushioning Elite,Running,Pennsylvania,Philadelphia,Women,7,Navy,Mesh/Synthetic,110,150,82500
Nike,Air Max 90,Running,Pennsylvania,Philadelphia,Men,8,Black/White,Leather/Mesh,120,100,55000
Adidas,NMD_R1,Fashion,Pennsylvania,Philadelphia,Women,7,Grey,Knit/Synthetic,140,125,81250
Reebok,Nano X1 Grit,Training,Pennsylvania,Philadelphia,Men,11,Grey/Black,Mesh/Synthetic,130,250,175000
Converse,All Star,Casual,Pennsylvania,Philadelphia,Men,9,Navy,Canvas,55,500,325000
Puma,Future Rider Play On,Lifestyle,Pennsylvania,Philadelphia,Women,9,Yellow,Synthetic/Textile,80,250,150000
Vans,Era,Skate,Pennsylvania,Philadelphia,Men,9.5,Black/White,Canvas,50,175,96250
New Balance,Fresh Foam X Beacon v3,Running,Pennsylvania,Philadelphia,Women,7,White/Grey,Mesh,120,150,82500
Asics,Gel-Kayano 27,Running,Pennsylvania,Philadelphia,Men,12,Black,Mesh/Synthetic,160,150,97500
Fila,Trigate,Fashion,Pennsylvania,Philadelphia,Women,8,Pink,Synthetic/Leather,65,300,210000
Nike,Air Force 1,Casual,Pennsylvania,Philadelphia,Men,11,White,Leather,90,500,325000
Adidas,Yeezy Boost 350 V2,Fashion,Pennsylvania,Philadelphia,Women,7,Cream,Primeknit,220,300,180000
Reebok,Nano X1,CrossFit,Pennsylvania,Philadelphia,Men,10,Black/White,Mesh,130,225,123750
Converse,All Star,Casual,Pennsylvania,Philadelphia,Women,8.5,Red,Canvas,60,175,96250
Puma,Calibrate Rest,Running,Pennsylvania,Philadelphia,Men,8.5,Grey,Mesh,100,200,130000
Vans,Sk8-Hi,Skate,Pennsylvania,Philadelphia,Men,9,Black/White,Suede/Canvas,70,375,262500
New Balance,327,Casual,Pennsylvania,Philadelphia,Women,7,Green/White,Suede/Nylon,90,525,341250
Asics,Gel-Cumulus 23,Running,Pennsylvania,Philadelphia,Men,9,Black,Mesh,120,300,180000
Fila,Mindblower,Fashion,Pennsylvania,Philadelphia,Women,7.5,Pink,Leather,75,225,123750
Skechers,Max Cushioning,Walking,Pennsylvania,Philadelphia,Men,11,Grey,Mesh,90,200,110000
Nike,React Infinity Run Flyknit 2,Running,Pennsylvania,Philadelphia,Women,8,Blue,Flyknit,160,175,113750
Adidas,Ultraboost 20,Running,Pennsylvania,Philadelphia,Men,9.5,White,Primeknit,180,350,245000
Reebok,Aztrek 96,Casual,Pennsylvania,Philadelphia,Women,9,Purple,Synthetic,90,475,308750
Converse,Jack Purcell,Casual,Pennsylvania,Philadelphia,Men,8.5,White,Canvas,70,275,137500
Puma,RS-X3,Fashion,Pennsylvania,Philadelphia,Women,7.5,Pink,Leather/Synthetic,110,200,90000
Vans,Slip-On,Skate,Pennsylvania,Philadelphia,Men,9.5,Checkerboard Black/White,Canvas,50,175,78750
New Balance,FuelCell Rebel v2,Running,Pennsylvania,Philadelphia,Women,8.5,Grey/Green,Mesh,130,125,68750
Asics,Gel-Quantum 360 6,Running,Pennsylvania,Philadelphia,Men,10,Black,Mesh,160,225,135000
Fila,D-Formation,Fashion,Pennsylvania,Philadelphia,Women,6,White/Black,Leather/Synthetic,70,400,240000
Skechers,Go Walk 5,Walking,Pennsylvania,Philadelphia,Men,10,Black,Mesh,65,225,112500
Nike,Air Max 2090,Running,Pennsylvania,Philadelphia,Women,7.5,Green,Mesh,150,125,62500
Nike,React Infinity Run,Running,Pennsylvania,Philadelphia,Men,9.5,Blue/Black,Mesh,160,100,50000
Adidas,NMD_R1,Lifestyle,Pennsylvania,Philadelphia,Women,7.5,Grey,Primeknit,130,100,60000
Reebok,Nano 9,Training,Pennsylvania,Philadelphia,Men,10,Black,Flexweave,130,225,146250
Converse,All Star Pro BB,Basketball,Pennsylvania,Philadelphia,Women,8.5,White,Leather,100,375,262500
Puma,Clyde Hardwood,Basketball,Pennsylvania,Philadelphia,Men,8,Red/Black,Leather,110,200,120000
Vans,Sk8-Hi,Skate,Pennsylvania,Philadelphia,Women,7.5,Black/White,Suede/Canvas,70,195,117000
New Balance,327,Casual,Pennsylvania,Philadelphia,Men,9.5,Green,Suede/Mesh,90,175,105000
Asics,Gel-Quantum 360 6,Running,Pennsylvania,Philadelphia,Women,8,Pink,Mesh/Synthetic,160,150,105000
Fila,Mindblower,Fashion,Pennsylvania,Philadelphia,Men,10,White/Red,Leather,75,250,187500
Skechers,D'Lites,Walking,Pennsylvania,Philadelphia,Women,7.5,Black,Leather/Synthetic,60,475,332500
Nike,Blazer Mid '77,Casual,Pennsylvania,Philadelphia,Men,10,White/Black,Leather,100,275,165000
Adidas,Superstar,Casual,Pennsylvania,Philadelphia,Women,8.5,White/Black,Leather,80,225,135000
Reebok,Classic Nylon,Casual,Pennsylvania,Philadelphia,Men,11,Black,Nylon/Suede,60,175,105000
